Var1 Var2 Var3 Var4 Var5 Var6 Var7 Var8
1741615461.81605 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615461.91654 0.281785104 -0.3488957392 0 0 0 -0.292031129 0.956408814
1741615462.01619 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.11657 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.21627 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.31635 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.41597 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.51634 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615462.61663 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.71532 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.81667 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615462.91559 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.01529 0.2822211765 -0.3488953512 0 0 0 -0.292798277 0.956174236
1741615463.1171 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.21645 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.31652 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.41612 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.5167 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.61667 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.7163 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615463.81641 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615464.11648 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615464.21605 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615464.31686 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615464.41599 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615464.51631 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615464.61659 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615464.71643 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615464.81601 0.2826316485 -0.3493522048 0 0 0 -0.292025441 0.956410551
1741615464.91576 0.2822066385 -0.34912514 0 0 0 -0.289996395 0.957027738
1741615465.01702 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615465.11654 0.281785104 -0.3488957392 0 0 0 -0.292031129 0.956408814
1741615465.21694 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615465.31627 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
1741615465.41645 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615465.51696 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615465.61648 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615465.71588 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615465.81527 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.0155 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.11583 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.21563 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.31659 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.41623 0.279257844 -0.3479962616 0 0 0 -0.290360148 0.956917439
1741615466.51604 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.61765 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.71781 0.282642744 -0.3491247296 0 0 0 -0.290751594 0.956798574
1741615466.8168 0.281776785 -0.3491263336 0 0 0 -0.290745074 0.956800555
